,company,country,description,location,review,salary,star,title
3,Siemens AG,Australia,"The big data engineer executes master data management policies developed by the data architect. Based on a solid data understanding, the data engineer executes...",Perth WA,5305,None,51.6,Data Scientist
4,VGW,Australia,Join our extraordinary Australian team! Data Scientist Data & Analytics Team |...,Perth WA,None,None,None,Data Scientist
9,Treasury Wine Estates,Australia,"Strong data science skills such as statistical & predictive modelling concepts, machine-learning approaches, clustering and classification techniques....",Victoria,34,None,31.8,Principal Data Scientist
0,International Institute of Data & Analytics,Australia,"In data science and big data analytics, the IDA creates enablers for:. Leading the field of data science and analytics innovation, training and services by...",Sydney NSW,None,None,None,Junior Data Analyst/Scientist
2,Boral Industries,Australia,3+ years of relevant work experience in a data scientist role. Leverage existing data and new data from IoT to develop insights for the business....,Sydney NSW,188,None,43.8,Data Scientist
5,Teradata,Australia,"The Data Scientist captures, sorts, and determines what is relevant in the data. The Data Scientist gathers intelligence from the massive streams of data that...",Sydney NSW,105,None,44.4,TB Prin. Data Scientist (I)
9,CSIRO,Australia,Join Data61 and help create Australia's data driven future! The role of Research Scientist in CSIRO is to design innovative solutions leading to scientific...,Sydney NSW,26,"$95,000 - $103,000 a year",52.8,Research Scientist - Network and Distributed Systems Security and Privacy
0,CSIRO,Australia,"Data61’s Analytics Research Group delivers innovative data analytical solutions for industry, and currently has an opportunity for an experienced senior...",Sydney NSW,26,"$109,000 - $128,000 a year",52.8,Senior Research Scientist
1,Atlassian,Australia,"Data visualisation (e.g. Ultimately, we're looking for a difference maker - data scientists need to take data, turn it into insights, follow-up these insights...",Sydney NSW,9,None,53.4,Team Lead - Data Science and Analytics
2,Davidson,Australia,Ability to analyse large data sets from multiple data sources. The role will suit a Junior Data Scientist or someone from a risk analytics or related area....,Sydney NSW,4,None,43.8,Data Analyst & Insights - Junior Data Scientist
4,Ambition,Australia,We are looking for an Analytics Specialist/Data Scientist to help push the boundaries in a space that is ready for data driven decision making....,Sydney Central Business District NSW,7,None,51.0,Data Scientist
6,TCS,Australia,"Visualization for data scientists (Zeppelin). Big Data and. Of Data Lake on AWS. Data science technologies used are HBASE, Hive, Spark, R, Kafka / Kinesis,....",Sydney NSW,11418,None,51.0,Big Data Lead
8,Macquarie Group Limited,Australia,"Apply statistical and machine learning methods across large data sets. Experience with Python, KDB, and data science tools, additionally experience in FX...",Sydney NSW,30,None,52.2,Quantitative Analyst – eFX – Initial 6 Month Contract
9,TCS,Australia,"Along with data scientists. Tools, data modelling skills, Big Data Experience on Hadoop and frameworks. O Strong in SQL, Data Exploration....",Sydney NSW,11418,None,51.0,Big Data Tech Lead
0,DigitasLBi,Australia,"Data extraction from structured/unstructured sources; The creative use of data / data sources is a must, the candidate should have not only a strong analytical... read more",Sydney NSW,126,None,43.8,Data Engineer
1,BuzzFeed,Australia,"We have offices in 18 cities around the world and more than 1300 employees including reporters, video producers, data scientists, engineers, brand strategists,... read more",Sydney NSW,9,None,51.6,Freelance Branded Editor
2,Susquehanna International Group,Australia,"To do this, you will have access to large data sets, often terabytes of data, containing billions of records daily .... read more",Sydney NSW,13,None,52.2,Quantitative Analyst
4,at Prospa,Australia,"Demonstrated ability to lead, develop and expand a team of data scientists, business intelligence/analytic and data strategists as well as data engineers.... read more",Sydney NSW,None,None,None,Head of Data & Insights
5,at Prospa,Australia,Proven experience working with large data sets including text data sets. Coding and application development using Data Science technologies like R or Python... read more,Sydney NSW,None,None,None,Senior Data Scientist
6,Amazon Web Services Australia Pty Ltd,Australia,SENIOR Data scientist – aws Professional services. Our Data Scientists can live in any location where we have a Professional Service office.... read more,Sydney NSW,18337,None,43.2,Senior Data Scientist
7,Salt Recruitment,Australia,The type of Data Scientists I am looking for are:. Salt have been engaged by a number of companies that are hiring talented data scientists.... read more,Sydney NSW,None,None,None,"Data Scientists Sydney, Australia"
8,Greythorn Specialist Technology Recruitment,Australia,Some true Data Science experience. Junior - mid level Data Scientist A trendy and cutting edge technology organisation is seeking a contractor for a specific... read more,Sydney NSW,6,None,52.2,Junior- Mid level Data Scientist
9,oOh!,Australia,Collaborate with data scientists on data pipelines and machine learning algorithms. Manage data flow across platforms.... read more,North Sydney NSW,None,None,None,Data Engineer
0,NSW Health Pathology,Australia,"The Hospital Scientist will be required to perform all duties in accordance with laboratory accreditation, quality assurance, workplace health and safety and...",Lidcombe NSW,4,None,51.0,Hospital Scientist (Specialist DNA Analyst)
1,"The Brattle Group, Inc.",Australia,"From day one as a Research Analyst (RA) Intern at Brattle, you will participate in project teams with senior consulting staff and leading international experts...",Sydney NSW,None,None,None,Sydney Research Analyst Intern 2017
3,DigitasLBi,Australia,"Lead Data Scientist. Owning end-to-end analytical projects involving data engineering, data mining, data modeling, and business strategy....",Sydney NSW,126,None,43.8,Lead Data Scientist
4,en world,Australia,"Data Scientists - Multiple Opportunities. Experience in manipulating data sets. As such, we are on the lookout for Data Scientists who are ready to utilise...",Sydney NSW,None,None,None,Data Scientists - Multiple Opportunities
7,NBCUniversal,Australia,Analyze data and contribute insights and ideas into the presentation and interpretation of audience behaviors to be shared with management....,Sydney NSW,1333,None,51.6,Research Analyst
8,Greythorn Specialist Technology Recruitment,Australia,Data Scientist This instantly recognized leader in their field are seeking to secure a mid level Data Scientist....,Sydney NSW,6,None,52.2,Data Scientist
0,Human Capital Management Australia,Australia,"We are looking for a smart, articulate Data Scientist with a background incorporating Machine Learning techniques into products....",Sydney NSW,None,None,None,Data Scientist
1,Zone IT Solutions,Australia,This role is part of our campaign to reach out to wider Data Scientists on expression of interest basis.  Ability to follow detailed procedures and ensure...,Sydney NSW,None,None,None,Data Scientist
4,Amazon Corporate Services Pty Ltd,Australia,"Data drives the development of new process; Data integrity, test design, analysis, validation, and documentation....",Sydney NSW,18337,None,43.2,Research Scientist
5,Caltex,Australia,"This role is the interface between the data scientists and the business, and is responsible for delivering commercial outcomes that drive sustainable value to...",Sydney Central Business District NSW,393,None,44.4,BUSINESS STRATEGIST - AI
6,Client Server,Australia,"Servian partner with companies such as IBM and Microsoft, and are the #1 data analytics partner for Google. You should be passionate about technology and have a...",Sydney NSW,2,None,60.0,"Consultant - Data Science/Analytics, AI, Machine Learning"
9,Stockland,Australia,Manage external data and analysis providers to ensure value for Stockland and timely inputs to the modelling process....,Sydney NSW,7,None,52.8,Research / Strategy Analyst
0,DigitasLBi,Australia,"Our global workforce of 6,000 includes industry-leading creatives in each region, working with data scientists, technology experts and media specialists to...",Sydney NSW,126,None,43.8,Technical Analyst
1,Macquarie Group Limited,Australia,"We are currently seeking an Equity Research Analyst to join our Regional Financials Sector Equity Research team based in Hong Kong, focusing on the insurance...",Sydney NSW,30,None,52.2,"Equity Research Analyst, Banking & Insurance Sectors - Based in Hong Kong"
2,Opus Recruitment Solutions,Australia,"Requirements - Data Scientist. Job Responsibilities – Data Scientist. Strong Data Science strategy. As a Data Scientist in this company, you will help work on...",Sydney NSW,None,"$150,000 - $200,000 a year",None,Senior Data Scientist
3,Hays,Australia,Analyse both quantitative and qualitative data sets to support policy and program initiatives. Have sophisticated statistical experience (eg SPSS and/or Stat)...,Sydney Central Business District NSW,466,$44 an hour,42.6,Research Analyst
6,WWF,Australia,"Strong technical research and data analysis skills. Experience in experimental design for monitoring and evaluation, the development and refinement of protocols...",Sydney NSW,55,None,52.8,Conservation Impact Measurement and Evaluation Specialist
7,"Gartner, Inc.",Australia,"Responsibilities include, researching, verifying and analysing data on functional capabilities, part level pricing, as well as performance and availability...",Hornsby NSW,153,None,43.8,"Research Analyst, Gartner -Hornsby"
9,Fulsearch,Australia,"Proven ability to critically review and analyse industry data. You will be working for one of Australia’s leading sell side equities houses, focussing on...",Sydney NSW,None,"$200,000 - $250,000 a year",None,Senior Research Analyst - Industrials (Mid/Small Cap)
0,TCS,Australia,"O Strong in SQL, Data Exploration tools, data modelling skills, Big Data. Machine learning concepts and work along with data scientists....",Sydney NSW,11418,None,51.0,Big Data Architect
4,Huxley,Australia,"* You will be responsible for designing and developing scorecards across the credit life cycle such as application, behaviour, fraud and collection scorecards...",Sydney NSW,6,$120 a day,43.2,Quantitative Analyst
5,AECOM,Australia,+ Experience in data management software (ESDAT / Equis) and preparation of environmental reports. Term-Time Employment - engineer your career around the kids....,Sydney NSW,2552,None,43.2,Environmental Engineer/Scientist (GRS) – Term Time Employment
1,Robert Walters,Australia,"As a Quantitative Analyst / Developer, you will be working as part of a team which spans over different geographies. The role will require knowledge across...",Sydney Central Business District NSW,33,None,43.8,Quantitative Analyst/Developer
4,Amazon Web Services Australia Pty Ltd,Australia,"Deep experience with data mining, analytics, and advanced modeling techniques. We are looking for a Senior Research Scientist to deliver innovative solutions to...",Sydney NSW,18337,None,43.2,Bus Dev and Analytics Manager
6,Aurec Human Capital Group,Australia,Our award-winning client is seeking a motivated and business savvy Data Scientist to join one of Australia's leading brands....,Sydney NSW,None,None,None,Senior Data Scientist
0,Anton Murray Consulting,Australia,Location: Sydney Salary description: circa $90k - $110k + super $50-100k AUD Equivalent Permanent 3 to 7 years of experience Working with one of the...,Sydney NSW,None,"$50,000 - $100,000 a year",None,Equity Research Analyst – Mining or Property – 12 Month Contract
5,Page Personnel,Australia,"Support the processing of annual product costing data, and data validation processes. Demonstrated experience in the successful development, implementation and...",North Sydney NSW,85,None,39.0,Statistical Analyst
6,Nine Entertainment,Australia,"In addition, we have a long-running strategic relationship with Microsoft, selling their suite of advertising products while leveraging their world-leading...",Sydney NSW,None,None,None,Research and Insights Analyst
7,Ethos BeathChapman,Australia,"Data Science Manager. You will manage a collaborative team of six people, made up of Data Scientists, Big Data Engineers and Data Engineers to serve...",Sydney NSW,None,None,None,Data Science Manager
0,Salt Recruitment,Australia,Data warehouse and data visualisation tools. Ensuring the integrity of data quality. You will be responsible for building out and leading that team which...,Sydney NSW,None,"$140,000 - $160,000 a year",None,"Business Intelligence Lead Sydney, Australia"
3,Opus Recruitment Solutions,Australia,They need an experienced Data Scientist to implement the whole data modelling process. In this role you will have to manage a small team of Data Scientist....,Sydney NSW,None,"$800 - $1,000 a day",None,DATA SCIENCE MANAGER
4,Morgan McKinley,Australia,A household name is looking for credit risk analysts for both permanent and contract opportunities in the Sydney CBD. This is a truly fantastic organisation...,North Shore NSW,10,"$100,000 - $120,000 a year",42.0,Quantitative Analyst
6,AECOM,Australia,+ Experience in data management software (ESDAT / Equis) and preparation of environmental reports. Reporting to the Workgroup Manager - Geosciences and...,Sydney NSW,2552,None,43.2,Senior Environmental Scientist - Geoscience and Remediation
7,Robert Walters,Australia,The Quantitative Analyst will be working on pricing models within the Risk Management Group. The Quantitative Analyst will sit in the CBD corporate office....,Sydney Central Business District NSW,33,None,43.8,Quantitative Analyst - Pricing Models
0,CSIRO,Australia,"CSIRO Postdoctoral Fellows provide opportunities to scientists and engineers, who have completed their doctorate and have less than three years relevant...",Sydney NSW,26,"$80,000 - $91,000 a year",52.8,CSIRO Postdoctoral Fellowship in Pulsar Astrophysics
2,Omnicom Group,Australia,"You will lead a team of high performing data scientists and play an integral part in the strategic direction, growth and profitability of Annalect Australia....",Sydney NSW,130,None,51.0,Head of Marketing Science
4,The Heart Research Institute,Australia,"The laboratory acquires data from a large hospital network across Sydney and Australia. The key techniques used are diffusion MRI and resting state fMRI,...",Camperdown NSW,None,None,None,Postdoctoral Scientist - Cardioneurovascular
5,The Heart Research Institute,Australia,"We also apply a range of other techniques including strain, MRS , perfusion MRI and T1-mapping as well as computational fluid dynamics' simulations to better...",Camperdown NSW,None,None,None,Postdoctoral Scientist - Cardiac
6,Hays,Australia,Expert at analysing clinical and pre-clinical data. Our client is looking for an experienced and enthusiastic Oncology scientist that enjoys working within a...,Sydney NSW,466,None,42.6,Translational Science Lead - Cancer Research
7,Healthcare Professionals Group,Australia,Administration > Data Entry. A world-wide company working with scientists and researchers in more than 50 countries....,Sydney NSW,None,None,None,Customer Service Associate - Animal Health - West Ryde
8,Healthcare Professionals Group,Australia,Administration > Data Entry. A world-wide company working with scientists and researchers in more than 50 countries....,Sydney NSW,None,None,None,Technical Customer Service Associate - West Ryde
0,Michael Page,Australia,"Data Analysis & Development Industry:. We are seeking a confident Web Developer to work with a team of data scientists, developers and programmers who are...",North Sydney NSW,157,"$80,000 - $100,000 a year",42.0,Creative Web Developer - Marketing
1,NSW Health Pathology,Australia,This position offers a highly motivated scientist the opportunity to develop his/her career in genetics. Recent employment in a Medical Genetics Pathology...,Randwick NSW,4,None,51.0,Hospital Scientist - Molecular Genetics
2,Chandler Macleod,Australia,Confident in presenting data and answering questions regarding the findings in a pressured setting. This role will require you to write detailed reports on the...,Sydney NSW,66,None,43.2,Senior Forensic Scientist | Pharmacologist | Toxicologist
3,Harnham,Australia,"Marketing Scientist, Consultancy, Sydney. As such, they are on the lookout for a data scientist with 3+ years' experience in marketing who will be able to use...",Sydney Western Suburbs NSW,None,None,None,MARKETING SCIENTIST
