,company,country,description,location,review,salary,star,title
3,Singapore Power,Singapore,"Singapore Power is looking for data analysts, data scientists, data and machine learning engineers to design and develop solutions for different data problems....",Singapore,6,None,51.0,Data Analyst/Data Scientist/Data and Machine Learning Engineer
4,Skyscanner,Singapore,What you can expect as a data scientist. Previous job experience as a data scientist ideally within an internet economy business or fast paced tech environment...,Singapore,3,None,51.0,Data Scientist – Singapore
5,Siemens AG,Singapore,"Siemens Healthineers is hiring a Data Scientist to analyze and enriches data by deploying various kinds of data analytics methods, models (e.g....",Singapore,5305,None,51.6,Data Scientist
6,GIC Investment,Singapore,Acquire data from primary or secondary data sources and maintain databases/data systems. Develop and implement data collection systems and other strategies that...,Tanjong Pagar,None,None,None,"VP, Data Scientist"
9,Singapore Press Holdings,Singapore,"Knowledge of Data Warehouse concept. The Data Scientist will be involved in the full cycle from data/analytics projects from data collection, database design,...",North Singapore,17,None,42.6,Data Scientist
11,StarHub,Singapore,"Data Scientist , SmartHub. Mine large volume of raw, structured and unstructured data using SPSS Statistics, SPSS Modeller, open source R, MtLab, etc on daily...",Singapore,30,None,42.6,"Data Scientist , SmartHub"
12,UMeKang,Singapore,"Use all available data, undertaking data discovery and exploration to identify opportunities, develop strategies and techniques to improve results....",Singapore,None,"$9,000 - $11,000 a month",None,Data Scientist
3,Shift Technology,Singapore,After a few short months of joining our data scientist team you will be able to:. Understand insurance data and fraud mechanisms;...,Singapore,None,None,None,Data Scientist
4,Mozat,Singapore,3 Proven success in applying data science methodologies to business. 1 Initiate high impact data science projects and make actionable plan....,Singapore,None,None,None,Data Scientist-Loops
5,Systems on Silicon Manufacturing Co. Pte. Ltd.,Singapore,"Bachelor’s Degree or higher, with sSpecialization in Data Science, Data Analytics or Machine Learning....",Singapore,24,None,41.4,Data Scientist
6,ITCS Group,Singapore,Proven success in applying data science methodologies to business. Initiate high impact data science projects and make actionable plan....,Singapore,None,None,None,Data Scientist
7,Traveloka,Singapore,"As a Data scientist, you play a key role to solve complex problems and drive insights from our sea of data. Passion in big data....",Singapore,4,None,51.0,Data Scientist
8,Heinz Australia,Singapore,"We are looking for a data scientist to join our People and Performance team to help discover the information hidden in vast amounts of employee data, and help...",Singapore,None,None,None,People & Performance Data Scientist
9,Thomson Reuters,Singapore,We have data. We are currently seeking a passionate Data Scientist with an entrepreneurial spirit to join our team in Singapore....,Singapore,2455,None,51.0,Data Scientist (Singapore)
10,IBM,Singapore,IBM is seeking candidates for a Research Data Scientist at the IBM Singapore Lab. We are interested in candidates with a proven background and experience in...,Singapore,18085,None,51.0,Research Data Scientist (IBM Singapore Lab)
11,Thermo Fisher Scientific,Singapore,Possesses strong computer skills and can manage and analyze data sets. The Scientist I (contract) will work effectively as part of a dynamic team or alone and...,Woodlands,1441,None,42.6,Scientist I
12,Thomson Reuters,Singapore,Data Scientist for Metals Research. The role will focus primarily on automating data capture and data validation from PDF documents including quarterly mine...,Singapore,2455,None,51.0,Data Scientist for Metals Research
2,Cresco Data Pte Ltd,Singapore,Data Scientist Duties:. We are looking for a Data Scientist to help us analyse vast amounts of data and help us make smarter decisions to deliver better...,Tanjong Pagar,None,"$3,500 - $4,500 a month",None,Data Scientist
3,Hewlett Packard Enterprise,Singapore,We are looking for a data scientist to join our team. HPE APJ Innovation Center Singapore focuses on providing customers with world class products and solutions...,Central Singapore,2623,None,43.8,Data Scientist
4,GIC Investment,Singapore,We are looking for a suitable candidate to join our Data Scientist team. Data & Analytics Department. Data manipulation – comfortable handling multiple data...,Tanjong Pagar,None,None,None,"AVP/VP, Data Scientist"
7,Hewlett Packard Enterprise,Singapore,"We have an exciting opportunity for a Data Scientist in HPE Singapore. You enjoy working on large data sets of structured, semi-structured and unstructured data...",Central Singapore,2623,None,43.8,Data Scientist Intern
10,Fidel Consulting Japan (Information Technology & S...,Singapore,∙ Understand insurance data and fraud mechanisms. We provides insurance companies with an innovative SaaS solution to improve and scale fraud detection....,Singapore,None,None,None,Data Scientist
11,SPRIM,Singapore,"Show high interest for data science through past/current job, past/personal projects, papers, etc. The vast startup portfolio of Sprim Ventures is an...",Singapore,None,None,None,Data Scientist (NLP)
3,OCBC Bank,Singapore,OCBC is currently looking for an exceptional Data Scientist to join the Group. A data lover and constantly looking at innovative solutions to further improve...,Singapore,127,None,44.4,Data Scientist
5,JJ Consulting Services,Singapore,"Our Client is a leading company in Singapore, who is seeking to recruit a Data Scientist. Proven success in synthesizing data into actionable business insights....",Singapore,None,None,None,Data Scientist
6,Vault Dragon,Singapore,Assist the Data Scientist in deploying Machine Learning models. Manage data collection which includes overseeing the deployment of OCR technology in extracting...,Singapore,None,"$4,000 - $6,000 a month",None,Data Engineer
7,David & Goliath Pte Ltd,Singapore,"Deep Learning Data Science using TensorFlow:. Conduct data exploration, feature engineering, visualization and develop models....",Singapore,None,None,None,"Deep Learning Data Scientist (AI Lab, TensorFlow) - perm in Bank"
8,Eames Consulting Singapore,Singapore,"At least two years data analytics working experience, preferably in banking. This is an exciting role to be part of a highly capable team of Data Scientists and...",Singapore,None,None,None,Data Scientist (Banking)
9,Kimberly- Clark Singapore Pte Ltd,Singapore,Data Science Intern. This role will work closely with APAC Data Scientist for implementing advanced analytics roadmap across Asia Pacific markets....,Singapore,None,None,None,Data Science Intern
10,Lazada,Singapore,Strong passion for big data and data science. Work with data engineering to build tools to allow stakeholder to query & visualize the data....,Singapore,103,None,43.8,Senior Data Scientist
3,GIC Investment,Singapore,"Data & Analytics Department. Work closely with data scientists to understand various data science models and research, and construct efficient and scalable...",Tanjong Pagar,None,None,None,"AVP/VP, Machine Learning Engineer"
5,TSA Solutions,Singapore,Data Scientist - Summary*. Bachelor in degree in data sciences. Analyze internal data and identify business opportunities working with TSA stakeholders....,Pasir Panjang,None,"$4,200 a month",None,Data Scientist
6,NTT DATA Singapore Pte Ltd,Singapore,Design rich data visualizations. Data capture and management to support model building. Good understanding of Machine Learning and Data Mining techniques....,Singapore,1099,None,42.6,Data Scientist
7,EarthStream Global Pte Ltd,Singapore,Develop novel applications including data driven products based on big data. Develop data models/solutions to solve practical problems based on advanced...,Singapore,None,None,None,Data Scientist
9,Centre for Quantum Technologies,Singapore,To assist senior scientists in data acquisition and to be trained in data analysis. The Centre currently has two vacancies for Research Assistants with the...,Singapore,None,None,None,Research Assistants
4,EkkBaz.com,Singapore,We are looking for a Data Scientist that will help us make smarter decisions to deliver even better products....,Ang Mo Kio,None,"$1,000 - $2,000 a month",None,Data Scientist Intern
5,Shift Technology,Singapore,After a few short months of joining our data scientist team you will be able to:. Understand insurance data and fraud mechanisms;...,Singapore,None,None,None,Data Scientist (JPN) - Singapore
6,Shift Technology,Singapore,After a few short months of joining our data scientist team you will be able to:. Understand insurance data and fraud mechanisms;...,Singapore,None,None,None,Data Scientist - Singapore
7,Moka,Singapore,We are looking for Data Scientists who are keen to help us uncover insights in our data and drive big data solutions. Do you have a passion for data?...,Singapore,46,None,43.2,Data Scientist
8,Centre for Strategic Infocomm Technologies (CSIT),Singapore,Data mining and knowledge discovery. Work with rich multimodal datasets and high velocity data streams. Identify high-impact opportunities for applying machine...,Singapore,None,None,None,Data Scientist
9,Ministry of Trade and Industry,Singapore,"Economics, Statistics, Applied Mathematics, Computer Science, Data Analytics, Engineering, or related disciplines....",Singapore,10,None,42.0,Economist (Data Analytics)
11,NGDATA,Singapore,"Knowledge of data modelling and programming. As a Big Data Software Consultant, you will be designing, writing and implementing....",Singapore,None,None,None,Big Data Software Consultant
12,Systems on Silicon Manufacturing,Singapore,"Bachelor’s Degree or higher, with sSpecialization in Data Science, Data Analytics or Machine Learning....",Pasir Ris,24,None,41.4,Data Scientist
3,StarHub,Singapore,"Data Scientist, Cyber Security. Mine large volume of raw, structured and unstructured data using R, Python, Spark, etc on daily basis from network logs (such as...",Singapore,30,None,42.6,"Data Scientist, Cyber Security"
5,DBS Bank,Singapore,"Data Scientist must enjoy working independently in a dynamic, fast paced environment and partnering with internal and external business partners....",Singapore,220,None,44.4,"Data Scientist, Regional Business Analytics, Consumer Banking Group"
7,Matthew Hoyle Financial Markets,Singapore,"As a Data Scientist, you will:. As Data Scientist, you’ll be part of the quantitative trading team. Then this job as a Data Scientist might be interesting for...",Central Singapore,None,None,None,Data Scientist
8,International Flavors and Fragrances,Singapore,"Excellent data analysis and interpretation skills. The position will focus on Consumer Products and Fragrance Technology Analysis, supporting Greater Asia...",Singapore,42,None,43.8,Scent Technology and Innovation - Scientist I
9,AXA,Singapore,Industrialize proof of concept data science projects developed by Data Scientists. Support data engineering for telematics/IoT initiatives of the company....,Singapore,579,None,44.4,"Specialist, Data & Innovation"
12,Honestbee,Singapore,"At honestbee, the data team works on all things data. Perform Data Analysis, data consultations that directly affect decisions made in building products and...",Singapore,10,None,41.4,Senior Data Scientist
3,Siemens AG,Singapore,"Transfer knowledge to younger data scientists. Drive and lead data science related products. Understand the competitive marketplace, business issues, and data...",Singapore,5305,None,51.6,Senior Data Scientist
5,Singapore Power,Singapore,"Data charter consists of data engineering, business intelligence, data science/machine learning teams. We are looking for a Data Scientist who will help us...",Singapore,6,None,51.0,Data Scientist/Senior Data Scientist
6,HP,Singapore,"If you are our Senior Data Scientist in Singapore, you will have a chance to Work with distributed teams in developing predictive systems, create efficient...",Singapore,8617,None,51.0,Senior Data Scientist
