,company,country,description,location,review,salary,star,title
0,ASOS.com,United Kingdom,You will be part of a highly innovative team of scientists working on interesting and difficult problems using big data to build products for millions of...,London,194,None,32.4,Data Science Internship
2,Google,United Kingdom,"Engage various stakeholders, assess data readiness. Experience working with SQL and Big Data. As a Data Scientist you will work closely with clients, to produce...",London,1790,None,52.8,"Data Scientist, Global Technical Services"
3,Unruly Ltd,United Kingdom,"Data scientists at our sister News Corp companies. Data Analysts – insight, data, yield management. Building data sets;...",London,None,None,None,Data Scientist – London
4,Skyscanner,United Kingdom,What you can expect as a data scientist. Previous job experience as a data scientist ideally within an internet economy business or fast paced tech environment...,London,3,None,51.0,Data Scientist – London
5,Soma Analytics,United Kingdom,Knowledge of data analysis tools. Meaningful visualizations and help us gain insight into our data. We are looking for a talented Data Science Intern who loves...,London,None,None,None,Data Science Intern
6,Amazon,United Kingdom,Experience performing data analysis on large data sets. Experience building tools that perform large scale data analysis....,London,18339,None,43.2,Applied Scientist
7,JP Morgan Chase,United Kingdom,"Professional experience as a data scientist or a related software engineering role. Experience in practical data processing, data mining, text mining and...",London E14,14843,None,44.4,CIB – Data Science – Data Scientist - Associate
9,Berrymans Lace Mawer,United Kingdom,"The Junior Data Scientist will mine, combine and analyse firm, customer and public data to produce valuable business insights....",London,4,None,40.8,Junior Data Scientist
1,Inspiring Interns,United Kingdom,"Someone comfortable working with numbers and data sets. Someone looking to develop a career in data intelligence, business analysis or working for a tech start...",London,4,"£1,200 a month",54.0,Data Scientist Internship | Tech Start-Up | London
2,Facebook,United Kingdom,"The full-time Data Scientist role has work across the following four areas:. The internship experience involves a training period, a project owned by the intern...",London,203,None,52.2,"Data Scientist, Analytics Intern (London Summer 2018)"
3,Kainos,United Kingdom,"Graduate Trainee Data Scientists apply their skills in quantitative analysis, data mining, machine learning and data presentation (storytelling) to see beyond...",London,None,None,None,Graduate Trainee Data Scientist
6,ARM,United Kingdom,"Skills and experience that we look for in a successful Graduate Data Scientist include:. It does this by applying a mixture of Data Science, Data Engineering...",Cambridge,21,None,51.6,Graduate Data Scientist
0,McLaren,United Kingdom,We're looking for an exceptional data scientist to help us take our bespoke data analysis software applications to the next level....,Woking,34,None,44.4,Data Scientist
2,AXA UK,United Kingdom,"The data scientist will be involved with all aspects of the project lifecycle, including; Ideas generation, data gathering, data processing, model building,...",Cobham,96,"£30,000 a year",43.8,Data Scientist (Graduate)
3,Facebook,United Kingdom,"The Data Scientist role has work across the following four areas:. Guiding the team's direction, and the product roadmapping process, through data....",London,203,None,52.2,"Data Scientist, Analytics University Grad (London 2018)"
4,Jawbone Health,United Kingdom,"Understand the concept of data transformation,. You will be joining the Jawbone Health Data Science team based in London in its infancy....",London,None,None,None,Data Scientist - London
5,Jawbone Health,United Kingdom,You will be joining the Jawbone Health Data Science team based in London in its infancy. You'll be in a unique position to help shape the team and projects we...,London,None,None,None,Bayesian Data Scientist - London
6,AIG,United Kingdom,"Practical experience in preparing data for Machine Learning (e.g., using SQL and/or NoSQL technologies). For senior roles, lead, inspire and mentor junior...",London,2127,None,43.8,Statistical Machine Learning Scientist
8,Expedia,United Kingdom,"Being a data scientist in travel is intellectually meaningful and stimulating, working on very hard problems with complex data....",London EC1V,469,None,51.0,Summer Internship: Data Science
0,Amazon,United Kingdom,Our Data Scientists can live in any location where we have a Professional Service office. Experience giving data presentations....,London,18339,None,43.2,Global Data Scientist Consultant
2,London School of Hygiene & Tropical Medicine,United Kingdom,They should have experience of developing specifications for end users of data sets and preparing data sets for analysis and be able and willing to be deployed...,London,2,"£38,533 - £43,759 a year",60.0,IDE-69 - Research Fellow – Data Scientist
5,IMS Health,United Kingdom,"An exciting opportunity has opened for a Data Scientist who will be instrumental in designing and delivering scalable applications for data science, statistics...",London,913,None,44.4,Data Scientist
6,"Two Sigma Investments, LLC.",United Kingdom,"Experience with data analysis tools (R, numpy/pandas/scikit-learn) and SQL. Two Sigma’s mission is to discover value in the world’s data....",London,5,None,43.8,"Data Scientist, Insurance Analytics"
